model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
BMW 335xi,3.0,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,19.0,27.0,22.0,6,no,08
BMW 335xi,3.0,6,Man-6,4WD,Gasoline,CA,small car,6.0,18.0,27.0,21.0,6,no,08
BMW 335xi,3.0,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,19.0,27.0,22.0,6,no,08
BMW 528i,3.0,6,Auto-S6,2WD,Gasoline,CA,midsize car,7.0,20.0,30.0,24.0,7,yes,08
BMW 528i,3.0,6,Man-6,2WD,Gasoline,CA,midsize car,7.0,20.0,30.0,24.0,7,yes,08
BMW 528i,3.0,6,Auto-S6,2WD,Gasoline,FA,midsize car,6.0,20.0,30.0,24.0,7,yes,08
BMW 528i,3.0,6,Man-6,2WD,Gasoline,FA,midsize car,6.0,20.0,30.0,24.0,7,yes,08
BMW 528xi,3.0,6,Man-6,4WD,Gasoline,CA,midsize car,7.0,19.0,28.0,22.0,6,yes,08
BMW 528xi,3.0,6,Auto-S6,4WD,Gasoline,CA,midsize car,7.0,20.0,27.0,23.0,7,yes,08
BMW 528xi,3.0,6,Man-6,4WD,Gasoline,FA,midsize car,6.0,19.0,28.0,22.0,6,no,08
BMW 528xi,3.0,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,20.0,27.0,23.0,7,yes,08
BMW 535i,3.0,6,Man-6,2WD,Gasoline,FA,midsize car,6.0,19.0,28.0,22.0,6,no,08
BMW 535i,3.0,6,Auto-S6,2WD,Gasoline,FA,midsize car,6.0,20.0,28.0,23.0,7,yes,08
BMW 535i,3.0,6,Man-6,2WD,Gasoline,CA,midsize car,6.0,19.0,28.0,22.0,6,no,08
BMW 535i,3.0,6,Auto-S6,2WD,Gasoline,CA,midsize car,6.0,20.0,28.0,23.0,7,yes,08
BMW 535xi,3.0,6,Man-6,4WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,08
BMW 535xi,3.0,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,19.0,27.0,22.0,6,no,08
BMW 535xi,3.0,6,Man-6,4WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,08
BMW 535xi,3.0,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,19.0,27.0,22.0,6,no,08
BMW 535xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,FA,station wagon,6.0,17.0,25.0,20.0,6,no,08
BMW 535xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,26.0,21.0,6,no,08
BMW 535xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,CA,station wagon,6.0,17.0,25.0,20.0,6,no,08
BMW 535xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,18.0,26.0,21.0,6,no,08
BMW 550i,4.8,8,Man-6,2WD,Gasoline,CA,midsize car,7.0,17.0,24.0,19.0,5,no,08
BMW 550i,4.8,8,Auto-S6,2WD,Gasoline,CA,midsize car,7.0,17.0,25.0,20.0,6,yes,08
BMW 550i,4.8,8,Man-6,2WD,Gasoline,FA,midsize car,6.0,17.0,24.0,19.0,5,no,08
BMW 550i,4.8,8,Auto-S6,2WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,08
BMW 650ci,4.8,8,Man-6,2WD,Gasoline,CA,small car,7.0,17.0,24.0,19.0,5,no,08
BMW 650ci,4.8,8,Auto-S6,2WD,Gasoline,CA,small car,7.0,17.0,25.0,20.0,6,yes,08
BMW 650ci,4.8,8,Man-6,2WD,Gasoline,FA,small car,6.0,17.0,24.0,19.0,5,no,08
BMW 650ci,4.8,8,Auto-S6,2WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no,08
BMW 650ci Convertible,4.8,8,Man-6,2WD,Gasoline,CA,small car,7.0,16.0,22.0,18.0,5,no,08
BMW 650ci Convertible,4.8,8,Auto-S6,2WD,Gasoline,CA,small car,7.0,17.0,25.0,20.0,6,yes,08
BMW 650ci Convertible,4.8,8,Man-6,2WD,Gasoline,FA,small car,6.0,16.0,22.0,18.0,5,no,08
BMW 650ci Convertible,4.8,8,Auto-S6,2WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no,08
BMW 750i,4.8,8,Auto-S6,2WD,Gasoline,CA,large car,7.0,17.0,25.0,20.0,6,yes,08
BMW 750i,4.8,8,Auto-S6,2WD,Gasoline,FA,large car,6.0,17.0,25.0,20.0,6,no,08
BMW 750li,4.8,8,Auto-S6,2WD,Gasoline,CA,large car,7.0,17.0,25.0,20.0,6,yes,08
BMW 750li,4.8,8,Auto-S6,2WD,Gasoline,FA,large car,6.0,17.0,25.0,20.0,6,no,08
BMW 760li,6.0,12,Auto-S6,2WD,Gasoline,FA,large car,6.0,14.0,22.0,17.0,4,no,08
BMW 760li,6.0,12,Auto-S6,2WD,Gasoline,CA,large car,6.0,14.0,22.0,17.0,4,no,08
BMW Alpina B7,4.4,8,Auto-S6,2WD,Gasoline,FA,large car,6.0,15.0,23.0,18.0,5,no,08
BMW Alpina B7,4.4,8,Auto-S6,2WD,Gasoline,CA,large car,6.0,15.0,23.0,18.0,5,no,08
BMW M5,5.0,10,Man-6,2WD,Gasoline,FA,midsize car,6.0,12.0,18.0,14.0,2,no,08
BMW M5,5.0,10,Auto-S7,2WD,Gasoline,FA,midsize car,6.0,12.0,18.0,14.0,2,no,08
BMW M5,5.0,10,Man-6,2WD,Gasoline,CA,midsize car,6.0,12.0,18.0,14.0,2,no,08
BMW M5,5.0,10,Auto-S7,2WD,Gasoline,CA,midsize car,6.0,12.0,18.0,14.0,2,no,08
BMW M6,5.0,10,Man-6,2WD,Gasoline,FA,small car,6.0,12.0,18.0,14.0,2,no,08
BMW M6,5.0,10,Auto-S7,2WD,Gasoline,FA,small car,6.0,12.0,18.0,14.0,2,no,08
BMW M6,5.0,10,Man-6,2WD,Gasoline,CA,small car,6.0,12.0,18.0,14.0,2,no,08
BMW M6,5.0,10,Auto-S7,2WD,Gasoline,CA,small car,6.0,12.0,18.0,14.0,2,no,08
BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,FA,small car,6.0,12.0,18.0,14.0,2,no,08
BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,FA,small car,6.0,12.0,19.0,14.0,2,no,08
BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,CA,small car,6.0,12.0,18.0,14.0,2,no,08
BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,CA,small car,6.0,12.0,19.0,14.0,2,no,08
BMW X3,3.0,6,Man-6,4WD,Gasoline,CA,SUV,7.0,18.0,26.0,21.0,6,yes,08
BMW X3,3.0,6,Auto-S6,4WD,Gasoline,CA,SUV,7.0,19.0,26.0,22.0,6,yes,08
BMW X3,3.0,6,Man-6,4WD,Gasoline,FA,SUV,6.0,18.0,26.0,21.0,6,no,08
